sku,post_title,post_content,post_excerpt,category,tags,post_status,visibility,manage_stock,stock_status,backorders,stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,featured,featured_image,reserve_image,product_gallery,reserv_gallery,shipping_class,comment_status,ping_status,menu_order
v2111001,"двигатель 1,5","[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Двигатель,,publish,visible,,,,,10000,,,,,,,,no,,"http://mailpo.ru/2111/двигатель/2111 1,5.jpg", ,"http://mailpo.ru/2111/двигатель/dvigat 1,5 cen 10000 (1).jpg|http://mailpo.ru/2111/двигатель/dvigat 1,5 cen 10000 (2).jpg",,,,
v2111002,корпус воздушного фильтра,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Двигатель,,publish,visible,,,,,500,,,,,,,,no,,http://mailpo.ru/2111/кузов/, ,http://mailpo.ru/2111/двигатель/korpus s voz filjtra cen 500 (2).jpg,,,,
v2111003,решетка радиатора,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,300,,,,,,,,no,http://mailpo.ru/2111/кузов/reshotka rad cen 300.jpg, , , ,,,,
v2111004,дверь передняя левая,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,2000,,,,,,,,no,,http://mailpo.ru/2111/кузов/dverj per lev cen 2000.jpg, , ,,,,
v2111005,дверь задняя левая,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,1500,,,,,,,,no,,http://mailpo.ru/2111/кузов/dverj zad lev cen 1500 (1).jpg,,http://mailpo.ru/2111/кузов/dverj zad lev cen 1500 (2).jpg,,,,
v2111006,бампер передний,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,1000,,,,,,,,no,http://mailpo.ru/2111/кузов/bamper per cen 1000.jpg, ,,,,,,
v2111007,дверь задняя правая,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,1500,,,,,,,,no,,http://mailpo.ru/2111/кузов/dverj zad prav cena 1500 (1).jpg,,http://mailpo.ru/2111/кузов/dverj zad prav cena 1500 (2).jpg,,,,
v2111008,бампер задний,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,1000,,,,,,,,no,,http://mailpo.ru/2111/кузов/bamter zad.jpg,,,,,,
v2111009,дверь передняя правая,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,2000,,,,,,,,no,,http://mailpo.ru/2111/кузов/dverj per prav cen 2000 (1).jpg,,http://mailpo.ru/2111/кузов/dverj per prav cen 2000 (2).jpg,,,,
v2111010,капот,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,2000,,,,,,,,no,http://mailpo.ru/2111/кузов/kapot cen 2000.jpg, , , ,,,,
v2111011,бак,"[wpmfc_short code=""tov-opis""]","[wpmfc_short code=""tov-short""]",ВАЗ ->2111->Кузов,,publish,visible,,,,,1000,,,,,,,,no,,http://mailpo.ru/2111/кузов/bak cen 1000.jpg, , ,,,,
,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,, , , ,,,,,
